


本科毕业论文（设计）

题目： 基于微信小程序的英语随时学的设计与实现                                      
  




　　　　　　　学       院：   信息科学与工程学院          
　　　　　　　专       业：   计算机科学与技术        
　　　　　　　学 生 姓 名：   杜  恒              
　　　　　　　学       号：   632107060410      
　　　　　　　指 导 教 师：   周  翔              
　　　　　　　评 阅 教 师：                       
　　　　　　　完 成 时 间：   2025年5月20日     
　　　　　　　　　
                   重庆交通大学
CHONGQING JIAOTONG UNIVERSITY

本科毕业论文（设计）原创性声明
　　本人郑重声明：所提交的毕业论文（设计），是本人在导师指导下，独立进行研究工作所取得的成果。除文中已注明引用的内容外，本论文不包含任何其他个人或集体已经发表或撰写过的作品成果。对本文研究做出过重要贡献的个人和集体，均已在文中以明确方式标明。
　　本人完全意识到本声明的法律后果由本人承担。
　　作者签名（亲笔）：                    年     月     日
-------------------------------------------------------------------------------------------------
本科毕业论文（设计）版权使用授权书
　　本毕业论文（设计）作者完全了解学校有关保留、使用学位论文的规定，本科生在校攻读期间毕业论文（设计）工作的知识产权单位属重庆交通大学，同意学校保留并向国家有关部门或机构送交论文的复印件和电子版，允许论文被查阅和借阅；本人授权重庆交通大学可以将毕业论文（设计）的全部或部分内容编入有关数据库进行检索，可以采用影印、缩印或扫描等复制手段保存、汇编毕业设计（论文）。
    作者签名（亲笔）：                    年     月     日
　　导师签名（亲笔）：                    年     月     日











摘    要
　　在数字经济盛行的当今环境下，人工智能大模型以及软件技术的迅速兴起，越来越多的英语学习者对于英语的学习更倾向于数字化学习。基于微信小程序的英语学习平台因其便捷性，即时性和个性化服务优势，逐渐成为现代语言学习的重要工具。本文为了满足用户多样化的英语学习需求，设计并实现了一个基于微信小程序的英语随时学的平台，此平台融合了智能化推荐算法以及交互式学习模式，其主要功能模块包括：基于用户学习水平的个性化单词推荐、多功能单词学习、精准化单词测试、人工智能文本对话答疑、英语发音评测助手以及完善的后台管理系统。系统通过智能化途径和自适应算法极大的提高用户英语学习水平，通过人工智能赋能英语学习实现普惠化，本系统研究主要介绍该课题的研究背景，开发环境，系统总体设计，系统的详细设计以及该平台各功能模块的测试。

关键词：英语学习；微信小程序；人工智能；英语发音评测助手；个性化推荐；



Design and Implementation of an Anytime English Learning WeChat Mini-Program  

Abstract 
　　With the rapid technology development，AI and soft skill are also reshaping the style of English learning quickly.More and more English learners now prefer to choose the flexible and convenient tech-based studying.In response to this trend，thesis designed the uniapp base don Wechat applets to help user to improve the quality of English Learning.The English learning platform based on WeChat mini programs has gradually become an important tool for modern language learning due to its convenience, immediacy, and personalized service advantages. The platform provides a user-friendly vocabulary recommendation, learning exercise, interactive AI dialogue training, progress monitoring with a variety of learning tools. It integrates the popular spread advantage of WeChat with artificial intelligence technology and implements an interactive method by choosing the front-end applet framework on the one hand and the back-end natural language processing model on the other hand.The experiment verified the feasibility of the main functions of the platform (i.e. personalized word recommendation and intelligent AI dialogue), and the research results indicate that the lightweight AI mobile platform can effectively help language learning, particularly suitable for learners with the pursuit of convenience. The work should be improved and optimized on the capability of dialog situation understanding and the adaptive learning function in the future.This work validate the role of integration between user-friendly smartphones apps and artificial intelligence to empower digital age the language learning equity.The system greatly improves users' English learning level through intelligent approaches and adaptive algorithms, empowering English learning with artificial intelligence to achieve universality. 
Keywords: English learning; WeChat mini-program; artificial intelligence; English Pronunciation Assessment Assistant; Personalized recommendations;

目    录

摘    要	II
　　这个流程设计通过Vue组件实现，采用响应式数据绑定确保界面与状态的实时同步，并通过RESTful API与后端服务保持数据一致性。界面设计注重移动端用户体验，操作区域大小适中，重要功能突出显示，如单词学习图5.7所示：
[zx3]

5.1.3  用户打卡流程设计
　　在本系统中为了增加用户的学习兴趣，用户可以每日进行打卡操作，这样既可以获取到知识，同时也可以获取积分，每日打卡是一个帮助用户巩固学习成果的功能，包含三种题型：英译汉、汉译英和单词拼写。用户每天需要完成一组题目来打卡，每天只能打卡一次。若用户在打卡完成后对打卡结果不满意，用户就可以去打卡信息管理将当日的打卡数据进行删除，则可继续完成打卡操作，积分的结算操作主要是月末进行结算。对于打卡设计的流程图如图5.8所示：


图5.8 打卡设计流程图

（1） 每日打卡设计
　　每日打卡的主要设计流程如下所示：
　　①. 功能概述与用户价值：每日打卡功能提供英译汉、汉译英和单词拼写三种题型；用户每日完成打卡可获得知识巩固和积分奖励；积分可用于VIP兑换和提升用户排名； 每天仅限打卡一次，培养用户持续学习习惯；
　　②. 核心业务流程：当用户进入打卡页面时，系统自动获取5道题与当前学习阶段匹配的题目，然后检查当日是否已经完成打卡操作，最后根据状态显示空数据/已完成/题目界面。当用户在答题交互过程中，其可以切换三种题型（系统自动重置为第一题），用户输入答案后进行实时保存，并提供题目导航功能（上一题/下一题）。当用户提交验证逻辑时，系统会判别用户是否已经完成所有题目，必须完成所有题目才可以提交，每日打卡可以按照打卡记录管理的操作可以进行多次打卡操作，用户提交题目后立即锁定当日打卡状态。
　　③. 积分奖励机制：获取的每五道题，根据系统给定的难度，按照难度为1时为2分依次递增，若做对了则进行加分操作。获取的积分可以用于VIP兑换以及参与用户积分排名，提高用户的学习兴趣。
　　④. 异常处理方案：当题目获取失败时，显示引导继续学习的提示；当重复提交时，提示"今日已打卡"并显示完成状态；当网络异常时，保留本地答案数据，提供重试功能；当数据异常时，记录错误日志并显示友好提示。
　　⑤. 数据管理设计：在前端存储中，主要存储的数据有当前题目集合（含用户答案），打卡类型状态，当日打卡完成标记以及最后操作的时间戳；在后端接口中，需要题目获取接口（按照用户阶段），打卡状态检查接口以及打卡提交接口（含有积分计算）。
　　⑥. 界面交互设计要点：在视觉设计过程中，系统主要采用温暖色系提升学习愉悦感；当用户未完成题目时进行禁用提交按钮，在分页器上显示进度（X/5），对用户点击的活跃题型按钮显示高亮的显示；当用户完成今日打卡时，系统会显著标注打卡完成状态及明日提醒。
　　注：该流程设计确保功能完整性同时，通过即时反馈和积分奖励形成"学习-打卡-奖励"的正向循环，有效提升用户粘性和学习持续性。用户每日打卡的界面设计如图5.9所示：

（2） 打卡管理设计
　　打卡管理的主要设计功能主要是辅助每日打卡功能，进行当日打卡记录的存储供用户查看，用户可以通过日期进行当日打卡信息的查询，用户可以删除当日的打卡信息进行多次打卡操作。而不能删除之前的打卡数据，打卡管理的设计流程如下所示：
　　① 当日打卡的记录存储：保存用户每日的打卡学习记录
　　② 历史打卡记录的查询：允许用户按照日期查询过往的打卡记录
　　③ 当日记录的管理：系统仅允许用户删除当日的打卡记录，以便于重新打卡操作
　　打卡管理设计的界面如图5.10所示：

　　
5.1.4  个性化词库
　　个性化词库的设计目的主要是为了帮助用户能够在当前阶段中能够精确的查询到单词数据并进行学习，在个性化词库中，用户可以根据在单词学习阶段的一些行为动作来进行相应行为的查看，例如用户的点击收藏动作，标记认识和标记学习动作。帮助用户管理独属于自己的词库，方便用户的学习。根据系统的特点和用户的实际需求，即可知个性化词库的设计思想如下所示：
　　(1) 个性化词库是用户进行单词管理、查询和学习的核心功能模块，具有多样化的筛选方式（全部/收藏/喜欢）、高效的单词搜索功能以及直观的学习状态展示。该模块不仅支持用户快速查找和浏览单词，还能通过收藏和喜欢标记来个性化管理词库，同时提供详细的单词学习功能，包括释义查看、发音播放以及多种记忆方法（如拆分记忆、联想记忆等），帮助用户更高效地掌握单词。单词详情页还包含丰富的例句展示和翻译，辅以底部操作栏的状态标记按钮，使用户能够灵活记录学习进度。
　　(2) 词库列表页面采用顶部固定布局，包含标题栏"英语单词词库"、筛选选项卡和实时搜索栏，方便用户快速切换视图和查找目标单词。单词列表区域以卡片形式展示单词、音标和释义，并标注收藏/喜欢状态，无数据时显示空状态提示。用户可通过点击筛选选项卡切换视图，输入关键词实时搜索，或点击单词卡片跳转至详情页。单词详情页面分为单词基本信息区（含发音功能）、记忆法区域（提供多种记忆技巧）和例句展示区，底部操作栏支持标记学习状态。交互上，用户可点击发音按钮听取读音，使用底部按钮切换熟悉或学习状态，实现一体化的单词学习体验。
　　如图5.11与5.12所示，分别为个性化词库界面和个性化单词详情界面，界面设计舒适，给予用户良好的使用体验：

5.1.5  单词消消乐游戏
　　基于微信小程序的英语随时学系统的设计过程中为了增强用户学习英语单词的趣味性，因此设计了一款简易的单词匹配游戏，该游戏的详细流程及其设计理念如下所示：
　　（1） .单词消消乐游戏是"英语随时学"微信小程序中的一个核心趣味学习模块，旨在通过游戏化方式增强用户记忆英语单词的效果。设计理念基于以下原则：
① 寓教于乐：将枯燥的单词记忆转化为有趣的卡片匹配游戏
② 渐进式学习：采用关卡制，难度随关卡提升
③ 即时反馈：提供匹配成功/失败的即时视觉反馈
④ 时间压力：引入计时机制增加挑战性
⑤ 成就激励：通过关卡进度和积分奖励激励用户持续学习
　　（2） 游戏初始化流程
① 获取用户当前学习进度(关卡等级)
② 从服务器获取对应关卡的单词数据(4个单词及其中文释义)
③ 若网络请求失败，使用内置默认单词库
④ 初始化游戏界面：洗牌、重置计时器、进度条等
　　（3） 游戏核心玩法流程
① 用户点击"开始闯关"按钮启动游戏
② 计时器开始60秒倒计时
③ 用户点击卡片翻转，查看内容
④ 连续翻转两张卡片：若匹配(英文单词对应中文释义)：卡片保持翻开状态，匹配对数+1；若不匹配：卡片自动翻回背面。
⑤ 重复步骤3-4直到所有卡片完成匹配或时间耗尽
　　（4） 游戏结束判定
① 成功条件：在60秒内完成所有4对单词匹配，并显示成功提示，解锁下一关按钮，并更新用户等级和积分（没闯一关加5分）。
② 失败条件：时间耗尽未完成匹配，并显示失败提示，，所有未匹配卡片自动翻回，仅仅显示重新开始按钮。
　　（5） 相关技术说明
　　计时器管理：主要是在用户在玩游戏时的系统提示，如图5.13所示：

　　该游戏模块通过将传统记忆卡片游戏数字化，并结合学习进度跟踪和积分奖励系统，有效提升了用户学习英语单词的积极性和持续性。如图5.14所示：

5.1.6  文章阅读模块
　　在基于微信小程序的英语随时学系统设计中，为了提高用户英语的能力，系统会提供一个图书角来供用户对英语文章的学习，图书角的设计流程和实现细节如下所示：
　　（1）. 模块架构设计
　　① 前端展示层：采用uni-app框架实现跨平台兼容
　　② 数据交互层：通过axios封装实现RESTful API调用
　　③ 业务逻辑层：处理阅读时长统计、文章内容解析等业务
　　④ 数据持久层：MySQL数据库存储文章基本信息
　　（2）. 核心功能流程
　　① 文章列表展示流程(如图5.15所示)：

图5.15 图书角界面实现流程
　　② 文章阅读流程(如图5.16)：

　　图5.16 文章阅读流程图
　　
　　（3）. 关键技术实现
　　① 动态路由传参：通过URL编码传递文章完整信息，如图5.17所示：


　　② 阅读时长统计：当用户点击文章卡片后，该计时器就开始5秒的倒计时操作，当五秒计时结束后，系统就会向后端发送数据，如图5.18所示

　　如图5.19与图5.20所示：


5.1.7  学习数据模块
　　在基于微信小程序的英语随时学系统设计中，为了帮助用户清晰的掌握学习进度和特点，系统提供了智能化的学习数据分析功能。该模块通过可视化数据展示和个性化反馈，帮助用户优化学习策略，具体实现如下：
　　（1）. 模块架构设计
　　① 数据采集层：记录用户每日打卡、学习时长、单词量等关键指标
　　② 分析处理层：通过后端算法计算学习进度、积分排名等数据
　　③ 展示交互层：采用F2图表库实现数据可视化展示
　　
　　（2）. 核心功能流程
　　　在本系统中的核心功能流程主要就是数据加载流程，为了使得系统运行时的准确性和流畅性，采用了如图5.21所示的数据加载流程：

　　图5.21 数据加载流程图
　　
　　用户学习数据模块通过上述设计实现了以下教育价值：在学习过程可视化方面，将抽象的学习进度转化为直观图表；在学习动机强化方面，通过排名和积分激发竞争意识；在学习习惯培养方面，打卡机制促进持续学习；在自我认知提升方面，多维数据帮助用户了解学习特点；通过对该模块的合理化分析，可以得知该模块的设计亮点如图5.22所示：

　　图5.22  学习数据模块亮点图
　　根据对用户学习数据模块的分析以及用户的实际需求的分析可以得知用户的界面设计如图5.23所示：


5.1.8  个人信息模块
　　在该系统中，个人信息模块的主要作用就是帮助客户端用户能够实现用户数据的可视化展示与安全编辑的功能。该模块采用的架构设计为分层架构设计，这样的设计能够确保数据的安全性能与操作的便捷性能能够相互统一，其具体的实现流程如下宋示：
　　（1）. 模块架构设计：在该系统中采用的是列表式的布局，这样能够帮助展示10类用户信息，分别为用户头像，用户的ID即编码，用户电话，用户的昵称，性别，年龄，邮箱，阶段，IP属地以及积分情况；实现了7种信息的编辑方式，包括弹窗，选择器，图片上传等。在为了维护数据之间的安全性能中，我采用了对于邮箱修改的验证码机制以及年龄输入中中限制为100岁之内的样式，避免数据的失误，提高系统的安全性能。最后通过axios封装RESTful API调用。主要的架构设计为数据交互层，交互控制层，数据验证层，最后为服务通信层。
　　（2）. 核心功能流程
　　① 信息加载流程：
　　用户进入页面 → 从Vuex获取用户数据 → 格式化显示（如性别数字转文字）→ 渲染界面
　　② 信息修改流程：
　　用户点击编辑 → 触发对应编辑方式 → 本地验证数据 → 提交到后端 → 更新Vuex状态 → 刷新显示
　　（3）. 关键技术实现
　　在本系统中，主要的实现难点就是实现头像上传处理的过程，其使用了nginx服务进行图片在浏览器中即可完成访问。首先需要用户点击头像，然后在系统文件夹中选择一个合适的头像进行上传，用户上传之后的文件类型为一个MultipartFile类型的文件，因此需要使用如图5.24所示，后端根据前端提供的文件的文件名进行解析，将原文件名提取出来，然后解析出该头像的文件格式，最后使用UUID生成一个可唯一标识的前缀码，然后将这个前缀码作为该头像的文件名，再加上原文件的文件后缀即可生成一个新的文件名并将其部署再nginx服务器中，最后将访问地址返回至前端供前端展示使用，以上即为实现头像修改过程的核心技术。
　　

　　根据如上对个人信息修改模块的设计可以得知，该模块秉持着对于用户数据安全行维护的原则，使得用户进行修改操作的便捷性，以及用户在修改邮箱时的正确性。该模块的设计如图5.25所示：

5.1.9  单词测试模块
　　该系统为了使得用户能够在学习完成之后检测自己的学习情况，因此设计了一款功能，可以帮助用户测验自己的学习能力，秉持着帮助用户能够更好的掌握英语单词。该模块的设计流程如下所示：
　　（1）. 模块入口设计
　　   ① 用户通过导航栏进入单词测试模块
　　   ② 模块首页显示测试说明和题目数量选择器
　　   ③ 提供10/20/30题三种测试规模选项
　　（2）. 测试初始化流程
　　   ① 用户选择题目数量后点击"开始测试"按钮
　　   ② 系统向后端发送请求获取测试题目：请求参数包含用户ID和题目数量；后端根据用户学习记录智能组卷。
　　   ③ 前端初始化测试状态和答题记录数组。
　　（3）. 测试界面设计
　　   ① 卡片式题目展示区：显示当前单词（大字突出）；显示音标和发音图标（可点击发音）；显示当前进度（x/总题数）。
　　   ② 选项区域：4个备选答案（1个正确答案+3个干扰项）；干扰项从用户未掌握的单词中随机选取；选项采用随机排序算法防止模式化。
　　（4）. 答题交互逻辑
　　   ① 用户点击选项后立即判断正误
　　   ② 视觉反馈：正确答案显示绿色高亮；错误答案显示红色高亮并标记用户选择。
　　   ③ 答题后显示Toast提示（正确/错误）
　　   ④ 自动记录答题结果
　　   ⑤ 已答题目标记防止重复作答
　　（5）. 导航控制
　　   ① "上一题"按钮：返回查看/修改之前的题目
　　   ② "下一题"按钮：自动跳转（1.5秒延迟）或手动进入下一题
　　   ③ 最后一题答完后显示"提交测试"按钮
　　（6）. 测试结果处理
　　   ① 收集所有题目的答题情况：单词编码；用户答案；正确答案；是否正确；
　　   ② 提交到后端进行评分和分析;
　　   ③ 后端返回测试得分并更新用户学习档案
　　（7）. 音频播放功能
　　   ① 点击发音图标触发单词发音：使用有道词典API获取发音；添加时间戳防止缓存；完善的错误处理和资源清理机制。
　　（8）. 状态管理
　　   ① 使用Vuex管理测试分数
　　   ② 本地状态管理：当前题目索引；已答题目标记；用户选择记录；测试结果暂存。
　　该模块通过科学的测试设计和友好的交互界面，帮助用户有效检测单词掌握程度，同时收集的测试数据为后续的个性化学习推荐提供了重要依据。测试结果将影响系统中单词的复习优先级和出现频率，形成完整的学习-测试-强化闭环。如图5.26和图5.27所示：


5.1.10 学习笔记模块
　　为了帮助用户在学习过程中记录一下今天的趣事，基于微信小程序的英语随时学系统提供了用户可以将个人的学习记录进行存储的功能，用户可以通过查询输入框来查询记录的事情，用户也可以删除一条学习笔记记录，也可以修改一条笔记记录，这样可以使得用户对于用户学习笔记的管理更加的便捷。该模块的主要功能分为四个，第一个为笔记记录功能，用户可以创建新的学习笔记，同时记录学习过程中的重要内容和趣事；第二个为笔记的查询功能，用户可以通过搜索框快速的查找特定的笔记内容；第三个为笔记管理功能，用户可以查看，修改和删除已经有的笔记记录；第四个即为数据持久化功能，用户可以将其书写的笔记数据通过后端API进行存储和管理。对于此模块的界面设计如图5.28和图5.29：





5.2  用户主页模块
　　在基于微信小程序的英语随时学系统中，用户需要首先通过注册登录页面后，服务器就会创建一个用户的无状态类型的会话，然后将用户的相关信息存入到Redis数据库中，此处我使用的，便于用户进行下次的数据请求。用户在第一次登陆后就可以获取到用户的基本信息以及登录验证的token值，通过用户ID以及用户Token授权匹配完成后，然后就可以从后端数据库中读取到用户主页模块的数据并进入用户的主页，反之，则会触发拦截器，以便用于拦截相关未授权的接口访问，然后返回至登录界面。用户在进入到用户主页的业务逻辑流程图的显示如图5.30所示，VIP用户主页图显示如图5.31所示，而普通用户主页图显示如图5.32所示：
　　

　　
图5.30  用户主页流程图


　　其中涉及到的主要相关技术及页面实现将在5.2.1到5.2.5章节进行介绍。
5.2.1  构建用户无状态会话
　　传统架构中，在应用服务器的内存中直接存储了会话资料，而这种单实例存储方式导致会话信息不能在多个应用实例之间共享。Spring框架为解决这一问题提供了多种实现的SessionRepository接口，支持将话数据持久化到外部存储系统，如Redis、关系型数据库或MongoDB等。如图5.33所示，传统的容器会话管理机制打破了传统容器会话的局限性。本系统采用Redis作为会话存储方案，它的优势体现在三个方面：将话状态外置实现无状态服务架构，支持应用层次扩展时的会话共享，简化了权限验证流程，将话状态下与会话之间通过Redis来实现。在具体实现上，基于用户ID的Redis键值对由系统在首次用户访问时产生，其中值部分为包含授权信息的UserToken对像，并对30min有效期进行了设置。通过Redis可视化工具Alperaysuper可以对如图5.34所示的这些会话数据的状态进行实时监控。这种设计不仅保证了会话的安全，而且方便了后续系统扩展。
　　



5.2.2  拦截器实现
　　系统在实现拦截器的过程中，在客户端和管理员使用的拦截器的后端代码相同，因此拦截器的相关技术介绍将会在本章节进行讲述，在使用Redis来进行管理用户的会话即session之后，接下来将会使用自定义的拦截器对每个前端请求接口进行检测是否携带有Token值，对未携带token值得用户进行拦截操作，对可以不经过Token验证就可以访问后端的数据的接口请求进行放行操作，拦截器实现的核心代码如图5.35所示：
　　

5.3  错题集模块
     在本系统的设计中，由于用户在每日打卡模块或者单词测试模块会出现错题的情况，那么系统就会将这些错题从后端数据库中获取出来，并将这些数据显示在前端界面上供用户查看，用户可以按照自己的选择进行错题集的查看，若需要查看在每日打卡时出现的错题，则需要点击每日打卡按钮，点击完成之后就可以看到其内容；在打卡错题记录中，系统又细分为了查看全部错误单词，单词拼写错误单词，英译汉错误单词，汉译英错误单词；当用户想查看单词测试错误的单词，那么用户就可以点击测试记录按钮即可完成查看操作；为了使得错题集中的数据可以帮助用户进行再此复习的情况出现，在错题集中每个错误的单词都有一个标记掌握按钮，当用户没有点击该按钮时，那么这个单词将会再次出现在每日打卡题目或者单词测试的题目中；帮助用户进一步对单词进行掌握；通过对该模块的讲述，接下来我将分为三部分对该代码进行讲述，内容从5.3.1至5.3.3进行讲述：
     5.3.1  错题收集机制
     错题收集机制采用事件驱动架构实现，主要流程如下：
     1. 错题触发条件：
        (1) 用户在打卡练习中提交错误答案（拼写错误/翻译错误）
        (2) 用户在单词测试中回答错误
     2. 数据采集流程(如图5.36)：


     5.3.2  错题分类存储
     在本模块中，对于错题的分类主要是存储在测试记录表(testrecord)和打卡记录表(checkrecord)中，由于在这两个表中存在有一个字段即该条记录是否正确，因此根据不同类别的错题，即可完成将错题从后端数据库中读取出来，帮助用户进行学习。其存储的特点是可以持久化存储至后端数据库中，用户在错题集模块中是无法进行删除操作的，当勇将所有单词学习完成之后，两个记录表中的数据才可以进行清空操作，帮助用户更加精准的进行学习过程。
     5.3.3  错题复习流程
     在本系统中，对于错题的复习流程图可见如图5.37所示：

     根据如上所示的用户在错题集模块的功能以及实际软件开发的可行性分析后可以得知如下所示的错题集界面设计图，如图5.38为每日打卡错题界面设计，如图5.39为单词测试错题界面设计：



5.4  单词默写模块
　　单词默写模块是系统的核心功能之一，旨在通过科学的章节划分和高效的默写流程，帮助用户有效记忆和掌握单词。该模块包含两个关键部分：章节划分策略和默写流程设计。

5.4.1  章节划分策略
　　章节划分策略是单词默写模块的基础，合理的章节划分能够帮助用户循序渐进地学习单词，避免因单词量过大而产生学习压力。本系统采用以下策略进行章节划分：
（1） 基于用户水平的动态划分  
   ① 系统根据用户的当前水平（consumerStage）动态划分章节，确保每个章节的单词难度与用户水平相匹配。例如，初级用户（`stage=1`即小学）的章节单词以基础词汇为主，而较高级用户（`stage=3`即高中）的章节单词则包含更复杂的词汇和短语。
（2） 固定单词数量  
   ① 每个章节包含固定数量的单词（如20个），避免单次学习负担过重。
   ② 单词数量通过后端接口返回的`wordCount`字段动态显示。
（3） 进度同步与统计  
   章节的完成状态（`hasCompleted`）和默写结果（正确率、错误数等）实时同步到后端，并通过统计卡片直观展示：

5.4.2  默写流程设计
默写流程设计注重用户体验和学习效率，分为以下几个阶段：
（1） 开始默写  
　　① 用户点击"开始默写"按钮后，系统跳转到默写页面（'ReviewDetailView'），并传入当前章节索引（'chapterIndex'）。
　　② 后端根据'chapterIndex'和用户ID返回该章节的单词列表。
（2） 报告与复习 
    ① 用户可通过"查看报告"按钮跳转到报告页面（ReviewReportView），页面包含：a.概览数据：正确率、用时、错误单词数。b.错误单词列表：突出显示用户错误答案（userAnswer）与正确答案的对比。c.图表分析：使用qiun-data-charts组件展示正确率趋势。
　　②支持"重新默写"功能，用户可删除原记录并重新开始当前章节。
（3） 鼓励机制 
    ① 根据正确率动态显示鼓励语（如"太棒了！"，"继续加油！"或者"不要气馁，下次继续努力"）。
　　② 正确率≥90%时，章节标记为"已完成"（hasCompleted: true）。
（4） 流程图示意(如图5.40)：

　　通过上述设计，单词默写模块实现了从学习到复习的闭环，帮助用户高效记忆单词并追踪学习进度。根据如上的模块解析以及实际情况的分析可以得知如图5.41，图5.42和图5.43其图形分别为章节主界面设计，默写报告设计和默写主界面设计：



5.5  VIP服务模块
　　为了提高用户学习的积极性，系统将用户分为了普通用户模块和VIP用户模块，VIP会员对于普通用来说是可以通过积分进行兑换操作的，这样也提高了用户学习的积极性，也为用户提供了学习英语的新选择，帮助用户更精准的进行学习英语，VIP用户相较于普通用户多了两种服务类型，一种是VIP用户可以使用英语发音评测助手来推对自己的英语发音进行评测功能，另一种是关于单词测试的题目推荐算法，对于VIP用户通过多计算了两种指标，可以更加精确的实现推荐题目的精确度。如图5.44所示即为VIP用户的专属功能，具体内容在5.5.1至5.5.2中详细介绍。

5.5.1  英语发音评测模块
　　英语发音评测模块的设计主要是基于科大讯飞的语音评测接口，通过在讯飞星火平台中申请的应用，讯飞平台就会提供APPID，API_SECRET以及API_KEY，这三个值主要是用于实现鉴权函数的实现，帮助小程序端能够准确的像科大讯飞AI语音评测接口端进行连接并进行发送数据的功能实现，在该模块中主要的核心功能就是鉴权函数的设计，鉴权函数的设计可以查阅讯飞星火平台上的开发者文档，核心代码如图5.45所示：

　　通过对上述鉴权函数的设计之后，为了帮助用户设计出可以显示该用户英语发音水平的真实情况，并且还可以使得用户能够信服该评测结构，通过小程序端将用户发音的mp3音频进行上传，再将该音频上传至科大讯飞的语音评测接口上进行语音评测，然后再填写需要评测的英语单词，注意在此处的处理逻辑为，只有当用户上传音频且完成填写待评测单词之后才可以点击AI评测按钮，实现讯飞星火发送评测数据的功能，由于讯飞星火端发送的是XML文件，因此需要借助XMLParser解析器进行json数据的提取，当提取完成后，接下来就是将所有的数据进行渲染至指定界面上，通过对该模块的模块流程分析，再与实际情况相结合就可以得知，英语发音评测界面的设计如图5.46，为了使得用户能够对该评测结果进行信服，系统设计了如图5.47所示的音高曲线图以及如图5.48所示的音素分析图：


5.5.2  精准测试模块
　　为了使得VIP用户能够具有更完美的单词测试的推荐，系统对VIP用户的推荐将会根据不同的情况进行处理，对于VIP模块的精准测试推荐的内容将会在章节5.6中进行详细阐述。
5.6  单词推荐模块
　　单词推荐系统是针对用户的学习历史、掌握程度以及个人喜好，动态推荐最适合当前学习的单词的智能英语学习辅助工具。系统对普通用户和VIP用户进行了特别区分，将推荐服务更加精准、个性化地提供给VIP用户。系统核心功能分为五大条，针对每个用户的学习进度、错误记录和掌握程度，通过智能个性化推荐单词功能，在为VIP用户提供专属推荐的同时，精准推送适合自己的单词，包括默写分析等。系统采用阶段式管理模式，对单词内容进行科学组织，保证学习路径的连贯性和系统性，并配有动态难度调整机制，可自动优化推荐词汇的难度，随用户英语阶段水平的变化而变化。此外，学习进度监测功能会实时检测用户对当前阶段单词的掌握情况，而掌握情况的设计指标主要是TestreCord表格和数据库中存储的CheckreCord表格，其中的表格为进阶学习提供数据支持，形成一个完整的学习闭环。
　　系统通过数据获取层的一系列方法(包括获取当前阶段单词的getwordsbycurrentstage()、获取用户基本信息的getuserinfo()、获取学习记录的getStudyRecords()、获取未掌握错误单词的getunmasteredmistakes()、getMasteredWords()获取已掌握的单词。以及VIP用户专属的GetReciteInfo()和GetCheckInfo()方法收集用户学习数据；核心推荐算法getRecommendedWords()首先获取用户信息，检查是否已经通过AllwordsMastered()掌握了所有当前阶段的单词(如果已经掌握，则重新设置测试记录)。然后利用CalculateWordScores()评分算法计算单词推荐得分--普通用户采用错误单词(60%)的权重组合，阶段匹配度(20%)，难度分数(10%)，熟悉度(10%)。VIP用户则额外增加三项指标：默写纪录(10%)、打卡纪录(5%)、游戏关卡适配(5%)；最终系统返回定制的单词推荐列表，按照没有掌握错别字优先，新单词没有测试次之，单词补充已经掌握的优先级策略。
     VIP用户享有更精细的推荐算法，主要通过三个方法实现：首先通过calculateReciteScore()分析用户默写记录中的正确/错误次数，使错误率高的单词获得更高推荐分数；其次通过calculateCheckInScore()分析打卡记录表现，优先推荐经常出错的打卡单词；最后通过calculateGameLevelScore()根据用户游戏关卡数调整推荐单词难度，使高关卡用户获得更多高难度单词。在模块中主要实现的算法的核心内容如图5.49所示：

　　这套系统通过综合考量用户的多维度学习数据，实现了智能化的单词推荐，能够有效提升英语学习效率，特别是为VIP用户提供了更加精准和个性化的学习体验。
5.7  客服模块
　　在基于微信小程序的英语随时学系统中，为提升客服应答的效率和准确性，系统集成科大讯飞Spark Pro大模型的AI文本对话接口，支持智能人机对话及多轮交互功能。讯飞星火平台为新注册用户提供500万免费文本对话Token流量，完全满足毕业设计的测试需求。申请平台应用后可获取鉴权所需的APPID、API_SECRET和API_KEY，具体鉴权函数设计参照开发者文档实现（相关WebSocket技术和鉴权方案已在前文阐述）。系统交互界面如图5.50（AI客服主界面）和图5.51（人机对话界面）所示。

5.8  后台管理模块
　　在基于微信小程序的网页端即系统管理员的开发过程中，管理员模块主要包含了6个模块，即首页管理，用户信息模块管理，单词管理，英语文章管理，个人信息模块管理，数据可视化分析模块。管理员可以查看当日的已经打卡的人数以及活跃用户的数量，管理员也可以查看用户基本信息，搜索用户信息，修改用户信息和冻结或解冻该用户；管理员可以查看所有单词的信息，按照查询类型进行单词的查询，修改某个单词的基本信息；管理员可以查看英语文章的具体信息，搜索某个英语文章的信息，删除某个英语文章的信息或者修改某个英语文章的信息；用户也可以在首页模块查看今日打卡的用户人数和活跃用户的数量，用户也可以查看各个阶段用户的学习进度前十的排名情况，如图5.52所示；管理员用户在数据可视化分析模块中通过输入起始日期和终止日期来查看在此期间的普通用户增长情况，普通用户种类情况，普通用户行为情况以及该系统用户的地区分布图；管理员也可以在个人空间中对个人信息进行修改。在接下来的5.8.1至5.8.5中进行详细阐述。

